id,created_at,price,product_id,updated_at
168,2019-06-25 14:07:56.672000,"8,90",10751,2019-06-25 14:07:56.672000
169,2019-06-25 14:08:31.007000,"227,91",11454,2019-06-25 14:08:31.007000
170,2019-06-25 14:09:49.115000,"508,41",11146,2019-06-25 14:09:49.115000
171,2019-06-25 14:10:36.400000,"669,60",12606,2019-06-25 14:10:36.400000
172,2019-06-25 14:11:03.054000,"233,91",8584,2019-06-25 14:11:03.054000
173,2019-06-25 14:11:17.336000,"279,99",7126,2019-06-25 14:11:17.336000
174,2019-06-25 14:11:29.923000,"123,41",8031,2019-06-25 14:11:29.923000
175,2019-06-25 14:12:29.261000,"359,99",17368,2019-06-25 14:12:29.261000
176,2019-06-25 14:12:41.359000,"21,11",14382,2019-06-25 14:12:41.359000
177,2019-06-25 14:12:45.857000,"2.069,91",7628,2019-06-25 14:12:45.857000
178,2019-06-25 14:14:20.585000,"679,00",10770,2019-06-25 14:14:20.585000
179,2019-06-25 14:14:59.987000,"189,00",7824,2019-06-25 14:14:59.987000
180,2019-06-25 14:15:14.871000,"275,90",9983,2019-06-25 14:15:14.871000
181,2019-06-25 14:16:05.033000,"85,90",9041,2019-06-25 14:16:05.033000
182,2019-06-25 14:16:30.849000,"18,99",9334,2019-06-25 14:16:30.849000
183,2019-06-25 14:17:06.445000,"1.979,10",10281,2019-06-25 14:17:06.445000
184,2019-06-25 14:17:51.307000,"139,90",16199,2019-06-25 14:17:51.307000
185,2019-06-25 14:17:59.624000,"265,91",7948,2019-06-25 14:17:59.624000
186,2019-06-25 14:18:16.961000,"2.699,10",13375,2019-06-25 14:18:16.961000
187,2019-06-25 14:18:57.739000,"299,90",13326,2019-06-25 14:18:57.739000
188,2019-06-25 14:19:03.228000,"123,41",8218,2019-06-25 14:19:03.228000
189,2019-06-25 14:20:02.040000,"809,99",16915,2019-06-25 14:20:02.040000
190,2019-06-25 14:20:31.236000,"119,90",16714,2019-06-25 14:20:31.236000
191,2019-06-25 14:20:54.790000,"305,01",16937,2019-06-25 14:20:54.790000
192,2019-06-25 14:21:47.956000,"135,90",13316,2019-06-25 14:21:47.956000
193,2019-06-25 14:22:34.684000,"99,90",16076,2019-06-25 14:22:34.684000
194,2019-06-25 14:23:52.697000,"3.059,10",12369,2019-06-25 14:23:52.697000
195,2019-06-25 14:24:44.461000,"3.218,28",13905,2019-06-25 14:24:44.461000
196,2019-06-25 14:25:31.978000,"503,41",11734,2019-06-25 14:25:31.978000
197,2019-06-25 14:26:17.391000,"75,90",8340,2019-06-25 14:26:17.391000
198,2019-06-25 14:26:27.245000,"114,90",7232,2019-06-25 14:26:27.245000
199,2019-06-25 14:26:32.943000,"389,41",11444,2019-06-25 14:26:32.943000
200,2019-06-25 14:27:58.772000,"2.384,10",12053,2019-06-25 14:27:58.772000
201,2019-06-25 14:28:12.317000,"188,73",15565,2019-06-25 14:28:12.317000
202,2019-06-25 14:29:01.788000,"26,90",10220,2019-06-25 14:29:01.788000
203,2019-06-25 14:30:05.304000,"119,99",8349,2019-06-25 14:30:05.304000
204,2019-06-25 14:30:56.927000,"2.699,00",13036,2019-06-25 14:30:56.927000
205,2019-06-25 14:31:11.468000,"50,07",8609,2019-06-25 14:31:11.468000
206,2019-06-25 14:31:27.863000,"3.789,00",11252,2019-06-25 14:31:27.863000
207,2019-06-25 14:31:30.215000,"79,90",8392,2019-06-25 14:31:30.215000
208,2019-06-25 14:31:48.942000,"1.349,90",10352,2019-06-25 14:31:48.942000
209,2019-06-25 14:32:00.004000,"155,70",6866,2019-06-25 14:32:00.004000
